model,language,category,difficulty,task_id,task_title,generation_time_s,execution_success,pass_at_1,peak_memory_mb,error
deepseek-coder:6.7b-instruct,python,string_manipulation,medium,py_011,Is Anagram,5.342,True,True,12.24,
deepseek-coder:6.7b-instruct,python,string_manipulation,medium,py_012,Word Frequency,8.595,True,True,11.52,
deepseek-coder:6.7b-instruct,python,data_structures,medium,py_013,Balanced Parentheses,18.204,True,True,12.09,
deepseek-coder:6.7b-instruct,python,string_manipulation,medium,py_014,Run-Length Encoding,11.154,True,True,11.78,
deepseek-coder:6.7b-instruct,python,algorithms,medium,py_015,Missing Number,6.443,True,True,11.69,
deepseek-coder:6.7b-instruct,python,data_structures,hard,py_016,Flatten List,7.719,True,True,11.66,
deepseek-coder:6.7b-instruct,python,data_structures,hard,py_017,LRU Cache,25.734,True,True,12.02,
deepseek-coder:6.7b-instruct,python,algorithms,hard,py_018,Longest Common Subsequence,27.935,True,True,11.79,
deepseek-coder:6.7b-instruct,python,concurrency,hard,py_019,Thread-Safe Counter,15.589,True,True,11.76,
deepseek-coder:6.7b-instruct,python,self_invoking,hard,py_020,GCD and LCM of List,17.384,True,True,11.75,
deepseek-coder:6.7b-instruct,java,string_manipulation,easy,java_001,Reverse String,4.618,True,True,33.23,
deepseek-coder:6.7b-instruct,java,string_manipulation,easy,java_002,Is Palindrome,11.004,True,True,33.32,
deepseek-coder:6.7b-instruct,java,algorithms,easy,java_003,Factorial,6.3,True,True,33.44,
deepseek-coder:6.7b-instruct,java,algorithms,easy,java_004,Fibonacci,10.743,True,True,33.22,
deepseek-coder:6.7b-instruct,java,string_manipulation,easy,java_005,Count Vowels,14.084,True,True,33.26,
deepseek-coder:6.7b-instruct,java,algorithms,easy,java_006,Find Maximum,14.562,True,True,34.71,
deepseek-coder:6.7b-instruct,java,algorithms,easy,java_007,Is Prime,9.074,True,True,33.4,
deepseek-coder:6.7b-instruct,java,algorithms,medium,java_008,Binary Search,15.846,True,True,33.36,
deepseek-coder:6.7b-instruct,java,algorithms,medium,java_009,Bubble Sort,15.544,True,True,33.33,
deepseek-coder:6.7b-instruct,java,algorithms,medium,java_010,Two Sum,13.108,True,False,35.14,
deepseek-coder:6.7b-instruct,java,string_manipulation,medium,java_011,Is Anagram,15.097,True,True,33.5,
deepseek-coder:6.7b-instruct,java,string_manipulation,medium,java_012,Word Frequency,28.092,True,True,33.29,
deepseek-coder:6.7b-instruct,java,data_structures,medium,java_013,Balanced Parentheses,37.404,True,True,33.21,
deepseek-coder:6.7b-instruct,java,string_manipulation,medium,java_014,Run-Length Encoding,19.63,True,True,33.29,
deepseek-coder:6.7b-instruct,java,algorithms,medium,java_015,Missing Number,18.952,True,True,35.12,
deepseek-coder:6.7b-instruct,java,data_structures,hard,java_016,Flatten List,22.666,False,False,0.0,
deepseek-coder:6.7b-instruct,java,data_structures,hard,java_017,LRU Cache,46.464,False,False,0.0,
deepseek-coder:6.7b-instruct,java,algorithms,hard,java_018,Longest Common Subsequence,44.484,True,True,33.3,
deepseek-coder:6.7b-instruct,java,concurrency,hard,java_019,Thread-Safe Counter,20.023,False,False,0.0,
deepseek-coder:6.7b-instruct,java,self_invoking,hard,java_020,GCD and LCM of List,29.679,True,True,33.37,
qwen2.5-coder:7b,python,string_manipulation,easy,py_001,Reverse String,10.765,True,True,11.8,
qwen2.5-coder:7b,python,string_manipulation,easy,py_002,Is Palindrome,4.236,True,True,12.01,
qwen2.5-coder:7b,python,algorithms,easy,py_003,Factorial,5.581,True,True,11.75,
qwen2.5-coder:7b,python,algorithms,easy,py_004,Fibonacci,8.515,True,True,11.45,
qwen2.5-coder:7b,python,string_manipulation,easy,py_005,Count Vowels,5.725,True,True,11.99,
qwen2.5-coder:7b,python,algorithms,easy,py_006,Find Maximum,8.11,True,True,12.37,
qwen2.5-coder:7b,python,algorithms,easy,py_007,Is Prime,8.018,True,True,11.54,
qwen2.5-coder:7b,python,algorithms,medium,py_008,Binary Search,11.742,True,True,12.0,
qwen2.5-coder:7b,python,algorithms,medium,py_009,Bubble Sort,9.375,True,True,11.55,
qwen2.5-coder:7b,python,algorithms,medium,py_010,Two Sum,9.134,True,False,12.13,
qwen2.5-coder:7b,python,string_manipulation,medium,py_011,Is Anagram,5.069,True,True,11.57,
qwen2.5-coder:7b,python,string_manipulation,medium,py_012,Word Frequency,8.101,True,True,11.88,
qwen2.5-coder:7b,python,data_structures,medium,py_013,Balanced Parentheses,10.332,True,True,11.7,
qwen2.5-coder:7b,python,string_manipulation,medium,py_014,Run-Length Encoding,12.39,True,True,11.73,
qwen2.5-coder:7b,python,algorithms,medium,py_015,Missing Number,7.31,True,True,11.76,
qwen2.5-coder:7b,python,data_structures,hard,py_016,Flatten List,6.935,True,True,11.45,
qwen2.5-coder:7b,python,data_structures,hard,py_017,LRU Cache,20.947,True,True,11.53,
qwen2.5-coder:7b,python,algorithms,hard,py_018,Longest Common Subsequence,18.112,True,True,11.63,
qwen2.5-coder:7b,python,concurrency,hard,py_019,Thread-Safe Counter,12.2,True,True,11.87,
qwen2.5-coder:7b,python,self_invoking,hard,py_020,GCD and LCM of List,14.135,True,True,11.88,
qwen2.5-coder:7b,java,string_manipulation,easy,java_001,Reverse String,4.349,True,True,33.32,
qwen2.5-coder:7b,java,string_manipulation,easy,java_002,Is Palindrome,8.828,True,True,33.25,
qwen2.5-coder:7b,java,algorithms,easy,java_003,Factorial,7.537,True,True,33.32,
qwen2.5-coder:7b,java,algorithms,easy,java_004,Fibonacci,9.781,True,True,33.41,
qwen2.5-coder:7b,java,string_manipulation,easy,java_005,Count Vowels,10.149,True,True,33.36,
qwen2.5-coder:7b,java,algorithms,easy,java_006,Find Maximum,11.058,True,True,33.51,
qwen2.5-coder:7b,java,algorithms,easy,java_007,Is Prime,7.916,True,True,33.4,
qwen2.5-coder:7b,java,algorithms,medium,java_008,Binary Search,13.767,True,True,33.29,
qwen2.5-coder:7b,java,algorithms,medium,java_009,Bubble Sort,14.92,True,True,33.3,
qwen2.5-coder:7b,java,algorithms,medium,java_010,Two Sum,12.092,True,False,35.23,
qwen2.5-coder:7b,java,string_manipulation,medium,java_011,Is Anagram,13.487,True,True,33.44,
qwen2.5-coder:7b,java,string_manipulation,medium,java_012,Word Frequency,12.712,False,False,0.0,
qwen2.5-coder:7b,java,data_structures,medium,java_013,Balanced Parentheses,16.243,True,True,35.03,
qwen2.5-coder:7b,java,string_manipulation,medium,java_014,Run-Length Encoding,14.299,True,True,35.14,
qwen2.5-coder:7b,java,algorithms,medium,java_015,Missing Number,9.338,True,True,33.42,
qwen2.5-coder:7b,java,data_structures,hard,java_016,Flatten List,10.549,False,False,0.0,
qwen2.5-coder:7b,java,data_structures,hard,java_017,LRU Cache,17.632,False,False,0.0,
qwen2.5-coder:7b,java,algorithms,hard,java_018,Longest Common Subsequence,22.104,True,True,33.37,
qwen2.5-coder:7b,java,concurrency,hard,java_019,Thread-Safe Counter,9.433,False,False,0.0,
qwen2.5-coder:7b,java,self_invoking,hard,java_020,GCD and LCM of List,13.621,True,True,33.31,
